BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB,id
Akif Javed,3,0,28,1,9.33,9,3,2,0,0,132
Shadab Khan,4,0,21,2,5.25,10,2,0,1,0,132
Zafar Gohar,4,0,31,3,7.75,11,2,2,0,0,132
Naseem Shah,2,0,6,0,3.00,9,1,0,0,0,133
Sohail Khan,3,0,38,1,12.66,6,7,0,2,0,133
Tymal Mills,3,0,33,0,11.00,3,3,1,0,0,133
Mohammad Hasnain,3,0,34,4,11.33,7,4,2,0,0,133
Mohammad Nawaz,2,0,26,0,13.00,2,2,2,0,0,133
Ben Cutting,2,0,30,1,15.00,1,0,3,1,1,133
Wahab Riaz,3,0,21,3,7.00,11,3,0,1,0,133
Rahat Ali,3,0,34,2,11.33,6,4,1,1,0,133
Hasan Ali,3,0,15,1,5.00,10,2,0,0,0,133
Yasir Shah,3,0,28,1,9.33,5,1,2,0,0,133
Lewis Gregory,3,0,38,0,12.66,4,1,4,0,0,133
Mohammad Amir,2.5,0,15,1,5.29,10,0,1,0,0,134
Aamer Yamin,3,0,17,2,5.66,8,2,0,0,0,134
Chris Jordan,1,0,9,0,9.00,2,1,0,0,0,134
Imad Wasim,4,0,14,2,3.50,15,1,0,0,0,134
Iftikhar Ahmed,2,0,7,0,3.50,7,0,0,0,0,134
Umer Khan,3,0,22,1,7.33,6,1,1,1,0,134
Mitchell McClenaghan,1,0,14,0,14.00,2,0,2,0,0,134
Rahat Ali,4,0,41,1,10.25,8,3,2,1,0,135
Shoaib Malik,3,0,23,0,7.66,11,1,2,0,0,135
Hasan Ali,4,0,36,2,9.00,7,2,2,0,0,135
Yasir Shah,2,0,30,0,15.00,0,2,2,0,0,135
Wahab Riaz,4,0,37,1,9.25,4,3,0,1,0,135
Carlos Brathwaite,3,0,22,1,7.33,4,0,1,0,0,135
Dale Steyn,2,0,15,0,7.50,4,2,0,0,0,135
Rumman Raees,2,0,20,1,10.00,3,2,0,3,0,135
Faheem Ashraf,2,0,26,0,13.00,3,4,1,0,0,135
Zafar Gohar,2,0,11,1,5.50,4,1,0,0,0,135
Shadab Khan,1,0,11,0,11.00,2,0,1,0,0,135
Shaheen Shah Afridi,4,0,20,2,5.00,12,2,0,2,0,136
Samit Patel,4,1,5,4,1.25,19,0,0,0,0,136
Mohammad Hafeez,3,1,15,0,5.00,12,1,1,0,0,136
Raja Farzan,4,0,24,2,6.00,15,3,0,2,0,136
Dilbar Hussain,4,0,24,0,6.00,16,1,1,2,2,136
Salman Irshad,1,0,9,1,9.00,3,1,0,2,0,136
Mohammad Nawaz,3,0,9,2,3.00,12,0,0,1,0,136
Mohammad Hasnain,2,0,33,0,16.50,2,4,2,0,0,136
Fawad Ahmed,4,0,27,0,6.75,10,3,0,0,0,136
Zahid Mahmood,2.5,0,26,0,9.17,6,3,1,0,0,136
Sohail Tanvir,2,0,15,0,7.50,7,1,1,2,0,137
Mohammad Ilyas,1,0,11,0,11.00,3,1,1,0,0,137
Junaid Khan,2,0,17,2,8.50,4,2,0,0,0,137
Shahid Afridi,1,0,20,0,20.00,1,0,3,0,0,137
Imran Tahir,2,0,13,2,6.50,4,1,0,1,0,137
Moeen Ali,1,0,9,1,9.00,1,1,0,0,0,137
Dale Steyn,1,0,14,0,14.00,1,3,0,0,0,137
Akif Javed,1,0,21,0,21.00,0,5,0,0,0,137
Rumman Raees,1,0,12,0,12.00,1,2,0,0,1,137
Shadab Khan,2,0,30,1,15.00,2,4,1,1,0,137
Muhammad Musa,1.4,0,16,0,9.60,3,3,0,0,0,137
Shaheen Shah Afridi,4,0,36,0,9.00,9,5,1,1,0,138
Samit Patel,4,0,24,0,6.00,12,2,1,0,0,138
Maaz Khan,4,0,31,2,7.75,8,5,0,0,0,138
Usman Shinwari,3,0,44,0,14.66,2,2,4,0,0,138
David Wiese,1,0,11,0,11.00,3,1,1,0,0,138
Mohammad Hafeez,2,0,11,0,5.50,4,1,0,0,0,138
Salman Irshad,2,0,28,1,14.00,3,1,3,0,0,138
Mohammad Amir,4,0,33,1,8.25,8,3,1,3,0,138
Aamer Yamin,1.1,0,9,0,7.71,3,0,1,0,0,138
Imad Wasim,3.5,0,40,0,10.43,10,2,4,0,0,138
Chris Jordan,4,0,36,0,9.00,7,3,1,1,0,138
Umer Khan,3,0,37,1,12.33,4,1,4,0,0,138
Cameron Delport,3.1,0,33,0,10.42,6,1,3,1,0,138
Shaheen Shah Afridi,4,0,28,3,7.00,11,5,0,0,0,139
Samit Patel,4,0,37,2,9.25,5,2,2,0,0,139
Dilbar Hussain,4,0,38,1,9.50,7,3,2,1,0,139
Haris Rauf,4,0,39,0,9.75,7,4,1,2,0,139
Maaz Khan,1,0,14,0,14.00,2,0,1,1,0,139
David Wiese,3,0,31,1,10.33,3,2,2,0,0,139
Hasan Ali,4,0,37,0,9.25,5,5,0,1,0,139
Rahat Ali,4,0,44,0,11.00,8,2,4,0,0,139
Wahab Riaz,4,0,27,1,6.75,6,3,0,0,0,139
Yasir Shah,3,0,26,0,8.66,4,2,1,0,0,139
Lewis Gregory,2,0,23,0,11.50,3,1,2,0,0,139
Carlos Brathwaite,2.5,0,28,3,9.88,6,3,1,2,0,139
Mohammad Amir,4,0,30,0,7.50,9,4,0,1,0,140
Imad Wasim,2,0,21,0,10.50,3,2,1,0,0,140
Umaid Asif,4,0,34,2,8.50,10,4,1,1,0,140
Chris Jordan,4,0,24,1,6.00,8,2,0,0,0,140
Usama Mir,3,0,23,0,7.66,7,2,1,0,0,140
Arshad Iqbal,3,0,15,2,5.00,7,1,0,1,0,140
Shaheen Shah Afridi,4.0,0,37,0,9.25,10,4,2,0,1,140
Samit Patel,2.0,0,18,0,9.0,1,2,0,0,0,140
Dilbar Hussain,3.0,0,17,0,5.66,10,1,1,0,1,140
Haris Rauf,3.0,0,24,0,8.0,6,4,0,0,0,140
David Wiese,4.0,0,38,0,9.5,5,2,2,1,0,140
Mohammad Hafeez,1.0,0,10,0,10.0,1,0,1,0,0,140
Mohammad Faizan,0.1,0,2,0,12.0,0,0,0,0,0,140
Hasan Ali,4,0,34,1,8.50,10,2,2,1,0,141
Rahat Ali,4,0,24,3,6.00,10,3,0,0,0,141
Mohammad Amir Khan,4,0,37,1,9.25,5,3,1,1,0,141
Wahab Riaz,4,0,20,1,5.00,9,1,0,0,0,141
Shoaib Malik,3,0,27,0,9.00,6,2,1,2,0,141
Hammad Azam,1,0,11,0,11.00,2,2,0,0,0,141
Sohail Tanvir,4,0,26,3,6.50,14,3,0,4,0,141
Mohammad Irfan,4,0,19,1,4.75,11,0,1,0,0,141
Ali Shafique,4,0,31,2,7.75,11,3,1,1,2,141
Moeen Ali,4,0,27,1,6.75,7,1,1,0,0,141
Imran Tahir,3,0,30,0,10.00,3,2,1,1,0,141
Shahid Afridi,1,0,11,0,11.00,2,2,0,0,0,141
Mohammad Amir,4,0,28,0,7.00,6,2,0,2,0,142
Umaid Asif,2,0,14,1,7.00,5,2,0,0,0,142
Chris Jordan,4,0,28,1,7.00,10,3,0,1,0,142
Imad Wasim,3,0,23,1,7.66,4,1,1,0,0,142
Usama Mir,2,0,18,0,9.00,3,2,0,0,0,142
Arshad Iqbal,2,0,13,1,6.50,4,1,0,0,1,142
Iftikhar Ahmed,3,0,12,1,4.00,9,1,0,0,0,142
Muhammad Musa,4,1,24,1,6.00,16,2,2,0,0,142
Zafar Gohar,4,0,20,1,5.00,15,0,2,0,0,142
Akif Javed,3,0,20,1,6.66,9,2,0,4,0,142
Rumman Raees,3.2,0,31,1,9.30,9,5,1,0,0,142
Faheem Ashraf,1,0,7,0,7.00,2,1,0,0,0,142
Shadab Khan,4,0,28,2,7.00,10,0,2,2,0,142
Shaheen Shah Afridi,4,0,23,2,5.75,14,4,0,0,0,143
Mohammad Hafeez,4,0,22,1,5.50,6,1,0,0,0,143
Dilbar Hussain,3,0,37,0,12.33,2,5,1,0,1,143
Samit Patel,1,0,13,0,13.00,1,2,0,1,0,143
Haris Rauf,3,0,50,0,16.66,1,2,5,2,0,143
Raja Farzan,2,0,11,0,5.50,5,1,0,0,0,143
David Wiese,3,0,24,2,8.00,5,1,1,1,0,143
Junaid Khan,4,0,36,0,9.00,7,6,0,1,0,143
Ali Shafique,2.5,0,40,0,14.11,5,5,2,0,0,143
Bilawal Bhatti,3,0,41,0,13.66,4,5,2,1,0,143
Moeen Ali,1,0,17,0,17.00,2,1,2,0,0,143
Ravi Bopara,2,0,17,0,8.50,6,2,1,0,0,143
Usman Qadir,4,0,24,1,6.00,12,2,1,0,0,143
Khushdil Shah,2,0,16,0,8.00,6,0,2,0,0,143
Naseem Shah,4,0,17,2,4.25,15,2,0,1,0,144
Sohail Khan,4,0,38,1,9.50,4,3,1,0,0,144
Mohammad Nawaz,4,0,32,0,8.00,8,4,0,2,0,144
Fawad Ahmed,4,0,27,1,6.75,11,0,2,0,0,144
Mohammad Hasnain,4,0,31,1,7.75,6,4,0,0,0,144
Waqas Maqsood,4,0,19,2,4.75,13,1,1,0,0,144
Ali Khan,3,0,36,1,12.00,7,6,1,2,0,144
Umer Khan,3,0,31,0,10.33,3,5,0,0,0,144
Arshad Iqbal,3.2,0,37,2,11.10,6,4,2,0,0,144
Usama Mir,3,0,30,0,10.00,4,2,2,0,0,144
Imad Wasim,2,0,11,1,5.50,7,2,0,0,0,145
Mohammad Amir,4,0,27,0,6.75,7,1,1,0,0,145
Waqas Maqsood,4,0,26,2,6.50,8,1,1,0,0,145
Arshad Iqbal,4,0,21,2,5.25,9,0,1,0,0,145
Iftikhar Ahmed,3,0,17,0,5.66,6,0,1,0,0,145
Wayne Parnell,3,0,35,0,11.66,4,3,2,0,0,145
Adam Lyth,1,0,4,0,4.00,3,0,0,0,0,145
Sohail Tanvir,4,0,25,3,6.25,14,3,1,0,0,145
Mohammad Irfan,2,0,22,0,11.00,3,4,0,0,0,145
Mohammad Ilyas,4,0,29,1,7.25,8,3,0,1,0,145
Imran Tahir,4,0,22,1,5.50,5,1,0,0,0,145
Khushdil Shah,2,0,8,0,4.00,4,0,0,0,0,145
Shahid Afridi,3,0,30,1,10.00,5,1,2,1,0,145
Shaheen Shah Afridi,4,0,19,2,4.75,10,1,0,1,0,146
Haris Rauf,4,0,48,2,12.00,11,3,5,1,0,146
Dilbar Hussain,4,0,33,3,8.25,5,1,2,0,0,146
Samit Patel,4,0,29,0,7.25,4,2,0,0,0,146
David Wiese,4,0,40,2,10.00,5,1,3,0,0,146
Shoaib Malik,1,0,6,0,6.00,3,1,0,0,0,146
Rahat Ali,4,0,24,1,6.00,10,3,0,0,0,146
Saqib Mahmood,4,0,41,3,10.25,10,5,2,0,0,146
Wahab Riaz,4,0,37,0,9.25,8,3,2,1,0,146
Hardus Viljoen,2,0,23,0,11.50,3,3,0,1,0,146
Carlos Brathwaite,2,0,20,0,10.00,1,2,0,0,0,146
Mohammad Imran,2,0,16,1,8.00,4,1,1,0,0,146
Adam Lyth,2,0,22,1,11.00,4,3,0,0,1,147
Sohail Tanvir,4,0,52,1,13.00,7,6,3,1,0,147
Mohammad Ilyas,2,0,17,1,8.50,5,3,0,1,0,147
Junaid Khan,4,0,42,1,10.50,7,6,1,0,0,147
Imran Tahir,4,0,30,0,7.50,8,3,1,0,0,147
Shahid Afridi,4,0,18,2,4.50,7,0,0,1,0,147
Shaheen Shah Afridi,4,0,36,2,9.00,7,4,1,1,0,147
Mohammad Hafeez,4,0,32,0,8.00,9,2,2,0,0,147
Haris Rauf,4,0,30,3,7.50,7,2,1,1,0,147
Dilbar Hussain,3.1,0,29,2,9.15,5,0,2,0,1,147
David Wiese,4,0,27,3,6.75,5,2,0,0,0,147
Imad Wasim,2,0,6,1,3.00,9,1,0,0,0,148
Mohammad Amir,4,0,38,0,9.50,7,4,1,2,0,148
Waqas Maqsood,4,0,18,2,4.50,12,1,0,1,1,148
Arshad Iqbal,4,0,26,2,6.50,10,3,0,1,0,148
Umaid Asif,4,0,18,2,4.50,13,2,0,0,0,148
Iftikhar Ahmed,2,0,19,0,9.50,1,1,1,0,0,148
Shaheen Shah Afridi,3.4,0,31,0,8.45,7,5,0,0,0,148
Haris Rauf,4,0,30,2,7.50,11,4,0,1,0,148
Samit Patel,4,0,22,1,5.50,9,1,0,1,0,148
Dilbar Hussain,4,0,28,2,7.00,5,1,0,1,1,148
David Wiese,3,0,21,0,7.00,5,2,0,1,0,148
Imad Wasim,4,0,31,1,7.75,11,4,1,1,0,149
Mohammad Amir,4,0,14,1,3.50,14,1,0,1,0,149
Aamer Yamin,2,0,23,1,11.50,7,2,2,1,0,149
Waqas Maqsood,2.2,0,21,2,9.00,6,2,1,1,0,149
Arshad Iqbal,4,1,16,3,4.00,16,2,0,0,0,149
Dan Christian,2,0,12,1,6.00,6,1,0,2,0,149
Mohammad Hasnain,4,0,18,2,4.50,15,3,0,0,0,149
Naseem Shah,2,0,23,0,11.50,4,3,1,1,0,149
Qais Ahmad,3,0,43,0,14.33,3,5,2,1,0,149
Usman Shinwari,2,0,10,1,5.00,6,1,0,0,0,149
Mohammad Nawaz,2,0,11,0,5.50,4,1,0,0,0,149
Ben Cutting,0.5,0,20,0,24.00,0,0,3,0,0,149
Shaheen Shah Afridi,4,1,14,3,3.50,16,1,0,2,0,150
Salman Mirza,4,0,35,2,8.75,10,7,0,0,0,150
Ahmed Daniyal,4,0,41,0,10.25,8,2,3,1,0,150
Rashid Khan,4,0,14,0,3.50,10,0,0,0,0,150
David Wiese,4,0,30,1,7.50,7,2,1,0,0,150
Wahab Riaz,4,0,30,2,7.50,11,4,0,0,1,150
Saqib Mahmood,4,0,22,2,5.50,12,1,1,0,0,150
Mohammad Imran,4,0,32,0,8.00,8,5,0,0,0,150
Mujeeb Ur Rahman,4,0,25,1,6.25,9,3,0,0,0,150
Amad Butt,2.3,0,32,1,12.80,5,4,2,0,0,150
Hasan Ali,4,0,16,1,4.00,12,1,0,0,0,151
Faheem Ashraf,3,0,27,1,9.00,8,2,2,1,0,151
Mohammad Wasim,4,0,29,3,7.25,9,4,0,0,0,151
Lewis Gregory,4,0,31,2,7.75,8,3,1,0,0,151
Zafar Gohar,1,0,13,0,13.00,1,1,1,0,0,151
Shadab Khan,4,0,33,1,8.25,11,2,2,0,0,151
Sohail Tanvir,4,0,38,0,9.50,8,5,1,1,0,151
Sohaibullah,3,0,26,0,8.66,5,4,0,1,0,151
Mohammad Umar,3,0,34,1,11.33,5,2,3,0,0,151
Carlos Brathwaite,4,0,23,2,5.75,12,3,0,1,0,151
Shahid Afridi,4,0,24,2,6.00,13,1,1,1,0,151
Khushdil Shah,1,0,4,1,4.00,2,0,0,0,0,151
Shaheen Shah Afridi,4,0,43,1,10.75,8,4,2,0,1,152
Haris Rauf,4,0,38,3,9.50,8,2,2,2,1,152
Mohammad Hafeez,2,0,11,0,5.50,5,1,0,0,0,152
Ahmed Daniyal,4,0,29,1,7.25,10,1,2,0,0,152
Rashid Khan,4,0,30,1,7.50,10,3,1,1,0,152
David Wiese,2,0,22,0,11.00,0,1,1,1,0,152
Mohammad Nawaz,2,0,8,0,4.00,8,1,0,0,0,152
Mohammad Hasnain,3.2,0,31,0,9.30,6,5,0,1,0,152
Usman Shinwari,4,0,47,0,11.75,7,5,2,0,1,152
Anwar Ali,3,0,33,0,11.00,2,2,2,0,0,152
Zahid Mahmood,3,0,28,1,9.33,6,2,2,0,0,152
Ben Cutting,3,0,31,0,10.33,2,1,2,0,0,152
Mohammad Imran,4,0,24,1,6.00,9,2,0,0,0,153
Mohammad Irfan,4,0,41,1,10.25,6,4,2,0,0,153
Saqib Mahmood,4,0,36,2,9.00,7,2,2,0,0,153
Mujeeb Ur Rahman,4,0,40,0,10.00,7,4,1,2,0,153
Wahab Riaz,4,0,51,0,12.75,7,5,3,2,1,153
Sohail Tanvir,3,0,40,0,13.33,5,5,2,2,0,153
Shahnawaz Dahani,4,0,44,2,11.00,9,2,4,2,0,153
Carlos Brathwaite,4,0,41,0,10.25,4,6,0,0,0,153
Shahid Afridi,4,0,38,0,9.50,5,4,1,0,0,153
Usman Qadir,4,0,29,1,7.25,7,3,0,0,0,153
Hasan Ali,4,0,36,1,9.00,11,6,1,0,0,154
Faheem Ashraf,4,0,28,0,7.00,9,2,1,1,0,154
Mohammad Wasim,4,0,30,0,7.50,7,2,1,0,1,154
Shadab Khan,2,0,32,0,16.00,3,1,4,0,0,154
Zafar Gohar,2,0,22,0,11.00,4,2,1,2,0,154
Lewis Gregory,1,0,11,0,11.00,1,2,0,0,0,154
Iftikhar Ahmed,1,0,10,0,10.00,1,0,1,0,0,154
Hussain Talat,2,0,25,1,12.50,4,2,1,2,2,154
Imad Wasim,4,0,32,1,8.00,5,3,0,2,0,154
Mohammad Amir,4,0,44,1,11.00,11,4,2,4,0,154
Aamer Yamin,1,0,29,0,29.00,0,5,1,0,1,154
Waqas Maqsood,2.1,0,22,1,10.15,5,1,2,0,0,154
Arshad Iqbal,3,0,30,1,10.00,3,3,1,0,0,154
Dan Christian,1,0,10,0,10.00,0,1,0,0,0,154
Mohammad Nabi,4,0,26,1,6.50,9,0,2,0,0,154
Sohail Khan,4,0,24,0,6.00,9,2,0,2,0,155
Shahnawaz Dahani,4,0,39,2,9.75,10,3,3,0,0,155
Carlos Brathwaite,4,1,20,2,5.00,14,3,0,1,0,155
Shahid Afridi,4,0,41,0,10.25,7,1,4,1,0,155
Usman Qadir,4,0,31,1,7.75,7,1,2,1,0,155
Shaheen Shah Afridi,4,0,29,2,7.25,12,5,0,2,0,155
Salman Mirza,2,0,27,0,13.50,1,4,0,1,1,155
Samit Patel,3,0,26,1,8.66,7,2,1,1,0,155
Haris Rauf,3.2,0,41,0,12.30,5,6,1,3,0,155
Ahmed Daniyal,3,0,24,0,8.00,6,2,0,2,1,155
David Wiese,1,0,8,0,8.00,2,1,0,1,0,155
Mujeeb Ur Rahman,4,0,44,0,11.00,4,6,1,1,0,156
Mohammad Irfan,4,0,39,0,9.75,9,5,1,1,0,156
Mohammad Imran,4,0,25,1,6.25,12,3,0,0,0,156
Saqib Mahmood,4,0,34,3,8.50,9,5,0,1,0,156
Wahab Riaz,4,0,54,2,13.50,6,7,2,2,1,156
Dale Steyn,4,0,44,2,11.00,7,1,4,2,1,156
Mohammad Hasnain,3.3,0,40,1,11.42,10,2,3,3,0,156
Usman Shinwari,4,0,49,1,12.25,6,6,2,0,0,156
Mohammad Nawaz,2,0,13,0,6.50,2,1,0,0,0,156
Zahid Mahmood,4,0,32,1,8.00,6,2,1,2,0,156
Ben Cutting,2,0,23,1,11.50,4,1,2,0,0,156
Imad Wasim,4,0,22,1,5.50,11,2,0,0,0,157
Mohammad Amir,4,1,34,1,8.50,11,2,1,7,0,157
Waqas Maqsood,4,0,47,1,11.75,4,8,0,0,0,157
Dan Christian,3,0,28,1,9.33,3,2,1,0,0,157
Arshad Iqbal,4,0,36,2,9.00,6,3,1,1,1,157
Mohammad Nabi,1,0,15,0,15.00,0,1,1,0,0,157
Sohail Khan,3.5,0,48,1,12.52,6,6,2,2,0,157
Shahnawaz Dahani,3,0,28,2,9.33,8,6,0,0,0,157
Carlos Brathwaite,4,0,32,0,8.00,6,3,0,2,0,157
Usman Qadir,3,0,26,0,8.66,5,4,0,0,0,157
Shahid Afridi,3,0,32,0,10.66,4,2,2,0,0,157
Khushdil Shah,2,0,28,0,14.00,1,2,2,0,0,157
Wahab Riaz,4,0,17,4,4.25,14,2,0,0,0,158
Mujeeb Ur Rahman,4,0,28,1,7.00,11,2,1,0,0,158
Mohammad Imran,3,0,28,0,9.33,3,2,1,1,0,158
Saqib Mahmood,2.1,0,12,3,5.53,5,1,0,0,0,158
Umaid Asif,4,0,31,1,7.75,8,2,1,0,0,158
Hasan Ali,4,0,14,2,3.50,17,2,0,1,0,158
Mohammad Wasim,3,0,26,1,8.66,7,1,2,1,0,158
Faheem Ashraf,2,0,14,0,7.00,4,2,0,0,0,158
Fawad Ahmed,4,0,40,1,10.00,6,2,3,0,0,158
Shadab Khan,4,0,23,0,5.75,12,1,1,0,0,158
Iftikhar Ahmed,0.1,0,5,0,30.00,0,0,0,0,0,158
Shaheen Shah Afridi,4,0,27,3,6.75,14,3,0,2,0,159
Mohammad Hafeez,2,0,19,0,9.50,6,1,2,0,0,159
Haris Rauf,4,0,32,1,8.00,13,5,1,0,0,159
Ahmed Daniyal,4,0,37,1,9.25,8,2,2,3,0,159
David Wiese,4,0,42,1,10.50,5,3,2,2,0,159
Samit Patel,2,0,27,1,13.50,4,3,2,0,0,159
Mohammad Amir,4,1,34,1,8.50,11,5,1,0,0,159
Mohammad Ilyas,2,0,25,0,12.50,4,2,2,1,0,159
Waqas Maqsood,3,0,34,1,11.33,2,4,1,0,0,159
Arshad Iqbal,3,0,25,0,8.33,6,1,2,0,0,159
Mohammad Nabi,4,0,31,0,7.75,8,3,1,0,0,159
Dan Christian,3.2,0,39,1,11.70,6,2,3,1,0,159
Hasan Ali,4,0,23,2,5.75,10,2,0,1,0,160
Mohammad Wasim,3,0,20,0,6.66,7,2,0,1,0,160
Faheem Ashraf,4,0,11,3,2.75,14,0,0,1,0,160
Muhammad Musa,4,0,39,0,9.75,6,2,2,3,0,160
Shadab Khan,3,0,25,1,8.33,7,4,0,0,0,160
Iftikhar Ahmed,2,0,28,0,14.00,4,0,4,0,0,160
Mohammad Nawaz,3,0,41,0,13.66,2,3,3,0,0,160
Naseem Shah,3,0,32,0,10.66,6,6,0,0,0,160
Dale Steyn,3,0,20,1,6.66,10,4,0,0,0,160
Mohammad Hasnain,4,0,34,1,8.50,10,3,1,5,0,160
Zahid Mahmood,4,0,29,2,7.25,11,5,0,0,0,160
Mohammad Amir,4,0,29,0,7.25,12,4,0,3,0,161
Mohammad Ilyas,4,0,38,2,9.50,9,4,2,0,0,161
Abbas Afridi,4,0,27,2,6.75,9,1,1,3,1,161
Imad Wasim,1,0,16,0,16.00,1,2,1,0,0,161
Arshad Iqbal,2,0,20,0,10.00,3,1,1,1,0,161
Dan Christian,3,0,45,1,15.00,5,5,2,2,0,161
Mohammad Nabi,2,0,12,0,6.00,3,0,0,1,0,161
Mohammad Imran,4,0,25,1,6.25,13,4,0,0,0,161
Mohammad Irfan,4,0,26,1,6.50,11,4,0,1,0,161
Saqib Mahmood,4,0,41,2,10.25,10,4,2,3,0,161
Amad Butt,4,0,56,0,14.00,8,6,3,1,0,161
Umaid Asif,3.3,0,41,0,11.71,4,2,3,0,0,161
Sohail Khan,4,0,33,1,8.25,9,5,0,0,0,162
Imran Khan,3,0,22,1,7.33,7,2,1,0,0,162
Shahnawaz Dahani,4,0,44,3,11.00,7,7,1,0,0,162
Carlos Brathwaite,4,0,43,0,10.75,8,5,2,2,0,162
Khushdil Shah,1,0,5,0,5.00,2,0,0,0,0,162
Imran Tahir,4,0,29,2,7.25,6,1,1,1,0,162
Mohammad Hasnain,4,0,34,2,8.50,13,5,1,2,0,162
Dale Steyn,3.4,0,34,1,9.27,7,4,0,2,0,162
Zahid Mahmood,4,0,39,2,9.75,9,4,2,0,0,162
Mohammad Nawaz,4,0,23,1,5.75,12,1,1,1,0,162
Qais Ahmad,4,0,21,3,5.25,11,2,0,1,0,162
Shaheen Shah Afridi,4,0,37,1,9.25,10,4,1,1,0,163
James Faulkner,4,0,32,3,8.00,10,4,1,0,0,163
Ahmed Daniyal,4,0,29,2,7.25,12,3,1,2,0,163
Haris Rauf,4,0,28,2,7.00,13,2,1,0,0,163
Rashid Khan,4,0,9,1,2.25,15,0,0,0,0,163
Hasan Ali,4,0,27,2,6.75,14,2,2,1,0,163
Faheem Ashraf,4,0,31,1,7.75,10,3,1,0,0,163
Mohammad Wasim,4,0,22,0,5.50,11,2,0,0,0,163
Fawad Ahmed,4,0,24,1,6.00,7,2,0,0,0,163
Shadab Khan,3,0,23,1,7.66,8,4,0,0,0,163
Hussain Talat,1,0,16,0,16.00,0,3,0,0,0,163
Imad Wasim,3,0,34,1,11.33,4,4,1,1,0,164
Mohammad Amir,4,0,42,0,10.50,9,5,2,1,0,164
Waqas Maqsood,4,0,33,1,8.25,6,3,1,0,0,164
Arshad Iqbal,2,0,20,0,10.00,2,2,0,1,0,164
Qasim Akram,4,0,34,0,8.50,7,4,0,0,0,164
Thisara Perera,3,0,12,2,4.00,6,0,0,0,0,164
Sohail Khan,4,0,33,0,8.25,9,2,2,1,0,164
Sohail Tanvir,4,0,28,0,7.00,10,1,1,2,0,164
Imran Khan,4,0,28,3,7.00,8,2,1,0,0,164
Shahnawaz Dahani,4,0,46,0,11.50,8,5,2,2,0,164
Imran Tahir,4,0,27,2,6.75,10,1,1,1,0,164
Wahab Riaz,4,1,31,1,7.75,12,0,3,1,0,165
Mohammad Irfan,4,0,24,1,6.00,13,2,1,0,0,165
Umaid Asif,4,0,31,1,7.75,8,0,2,2,0,165
Mohammad Imran,4,0,34,1,8.50,4,1,2,0,0,165
Shoaib Malik,1,0,8,0,8.00,1,1,0,0,0,165
Fabian Allen,3,0,36,2,12.00,3,3,2,1,0,165
Shaheen Shah Afridi,4,0,31,0,7.75,13,3,2,0,0,165
James Faulkner,4,0,23,2,5.75,10,3,0,0,0,165
Ahmed Daniyal,4,0,47,0,11.75,6,4,3,1,0,165
Haris Rauf,4,0,38,1,9.50,8,2,3,0,0,165
Rashid Khan,4,1,20,5,5.00,16,1,1,2,0,165
Hasan Ali,4,0,24,2,6.00,12,3,0,2,0,166
Akif Javed,4,0,18,1,4.50,12,1,0,2,0,166
Mohammad Wasim,4,0,12,2,3.00,12,0,0,0,0,166
Shadab Khan,4,0,33,1,8.25,8,2,2,0,0,166
Muhammad Musa,4,0,38,2,9.50,12,1,3,2,1,166
Naseem Shah,1,0,19,0,19.0,0,4,0,0,0,166
Khurram Shahzad,2,0,29,0,14.5,3,3,1,0,3,166
Jack Wildermuth,1,0,12,0,12.0,3,3,0,0,0,166
Mohammad Hasnain,2,0,21,0,10.5,5,3,1,0,0,166
Zahid Mahmood,2,0,36,0,18.0,3,4,3,0,0,166
Mohammad Nawaz,2,0,18,0,9.0,4,1,1,2,0,166
Mohammad Nawaz,4,0,33,2,8.25,8,3,1,1,0,167
Mohammad Hasnain,4,0,30,1,7.50,11,3,1,2,0,167
Zahir Khan,4,0,31,0,7.75,8,4,0,0,0,167
Khurram Shahzad,4,0,22,1,5.50,10,1,1,0,0,167
Zahid Mahmood,3,0,53,0,17.66,3,2,6,1,0,167
Cameron Delport,1,0,25,0,25.00,1,1,2,1,1,167
Wahab Riaz,4,0,20,2,5.00,15,3,0,1,0,167
Mohammad Irfan,4,0,27,3,6.75,11,2,1,1,0,167
Mohammad Imran,4,0,20,0,5.00,9,1,0,1,0,167
Shoaib Malik,3,0,33,0,11.00,4,4,1,0,1,167
Fabian Allen,1,0,8,1,8.00,1,1,0,0,0,167
Umaid Asif,3,0,17,2,5.66,7,1,0,0,0,167
Rovman Powell,1,0,8,0,8.00,3,0,1,0,0,167
Shaheen Shah Afridi,4,0,19,2,4.75,12,0,1,0,1,168
James Faulkner,4,0,19,3,4.75,14,3,0,0,0,168
Haris Rauf,4,0,29,2,7.25,13,5,0,1,0,168
Rashid Khan,4,0,36,0,9.00,5,1,2,1,0,168
Ahmed Daniyal,4,0,46,0,11.50,3,4,2,0,0,168
Mohammad Wasim,3,0,38,0,12.66,4,3,3,0,0,168
Ali Khan,2.2,0,10,1,4.28,11,2,0,1,0,168
Muhammad Musa,3,0,18,3,6.00,9,2,0,2,0,168
Fawad Ahmed,4,0,27,2,6.75,13,3,1,0,0,168
Iftikhar Ahmed,2,0,15,0,7.50,5,1,1,0,0,168
Shadab Khan,4,0,14,2,3.50,14,1,0,0,0,168
Imran Khan,4,0,25,0,6.25,10,2,0,2,0,169
Sohail Tanvir,4,0,38,0,9.50,9,3,2,2,0,169
