BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB,id
Mohammad Asghar,1,0,5,1,5.00,4,1,0.0,0.0,0.0,30
Hasan Ali,3,0,23,3,7.66,12,4,0.0,0.0,1.0,30
Mohammad Hafeez,2,0,12,1,6.00,8,1,1.0,0.0,0.0,30
Chris Jordan,1.2,0,8,2,6.00,5,1,0.0,0.0,0.0,30
Wahab Riaz,2,0,9,1,4.50,7,1,0.0,1.0,0.0,30
Shahid Afridi,1,0,2,1,2.00,4,0,0.0,0.0,0.0,30
Sunil Narine,4,0,16,2,4.00,16,1,1.0,0.0,0.0,30
Sohail Tanvir,2,0,4,1,2.00,9,0,0.0,0.0,0.0,30
Mohammad Irfan,1,0,11,0,11.00,3,2,0.0,0.0,1.0,30
Bilawal Bhatti,4,0,15,0,3.75,15,1,0.0,3.0,0.0,30
Yasir Shah,4,0,7,4,1.75,18,0,0.0,1.0,0.0,30
Fakhar Zaman,1,0,2,0,2.00,4,0,0.0,0.0,0.0,30
Grant Elliott,1,0,5,0,5.00,3,0,0.0,1.0,0.0,30
