BATTING,dismissal,R,B,4s,6s,SR,id
Shoaib Malik,c †Haddin b Mohammad Irfan,0,4,0,0,0.00,22
Ravi Bopara (c),c Smith b Mohammad Sami,37,36,1,1,102.77,22
Ryan ten Doeschate,c †Haddin b Mohammad Sami,16,23,0,0,69.56,22
Imad Wasim,c Asif Ali b Mohammad Sami,6,4,1,0,150.00,22
Sohail Khan,c Khalid Latif b Russell,7,10,0,0,70.00,22
Usama Mir,c Russell b Mohammad Sami,0,1,0,0,0.00,22
Mohammad Amir,not out,5,5,1,0,100.00,22
Dwayne Smith,not out,50,48,7,1,104.16,22
Sharjeel Khan,c Iftikhar Ahmed b Sohail Khan,9,9,2,0,100.00,22
Brad Haddin †,not out,52,29,4,3,179.31,22
Dwayne Smith,lbw b Tait,19,37,0,0,51.35,23
Sharjeel Khan,run out (Wahab Riaz/Hasan Ali),117,62,12,8,188.70,23
Brad Haddin †,b Tait,0,1,0,0,0.00,23
Khalid Latif,not out,28,21,3,0,133.33,23
Andre Russell,not out,0,0,0,0,-,23
Kamran Akmal †,c †Haddin b Imran Khalid,45,32,5,2,140.62,23
Dawid Malan,c †Haddin b Badree,7,12,1,0,58.33,23
Mohammad Hafeez,c Asif Ali b Imran Khalid,8,14,0,0,57.14,23
Brad Hodge,c sub (Kamran Ghulam) b Imran Khalid,5,11,0,0,45.45,23
Daren Sammy,b Imran Khalid,9,8,2,0,112.50,23
Shahid Afridi (c),c Smith b Russell,38,17,2,4,223.52,23
Shahid Yousaf,b Russell,4,5,0,0,80.00,23
Wahab Riaz,c Russell b Mohammad Irfan,1,3,0,0,33.33,23
Hasan Ali,c Misbah-ul-Haq b Mohammad Sami,1,4,0,0,25.00,23
Mohammad Asghar,b Russell,0,2,0,0,0.00,23
Shaun Tait,not out,0,0,0,0,-,23
Bismillah Khan,c †Haddin b Mohammad Irfan,0,3,0,0,0.00,24
Ahmed Shehzad,c Badree b Mohammad Sami,64,39,9,1,164.10,24
Kevin Pietersen,c Asif Ali b Russell,18,18,0,1,100.00,24
Kumar Sangakkara,c Imran Khalid b Russell,55,32,7,2,171.87,24
Mohammad Nawaz,b Badree,7,5,0,1,140.00,24
Sarfaraz Ahmed (c)†,c Smith b Mohammad Irfan,3,4,0,0,75.00,24
Grant Elliott,not out,12,9,0,1,133.33,24
Anwar Ali,c Khalid Latif b Russell,13,10,1,1,130.00,24
Nathan McCullum,not out,0,0,0,0,-,24
Dwayne Smith,c Pietersen b Zulfiqar Babar,73,51,7,4,143.13,24
Sharjeel Khan,b McCullum,12,11,1,1,109.09,24
Brad Haddin †,not out,61,39,2,5,156.41,24
Andre Russell,b Aizaz Cheema,7,3,0,1,233.33,24
Khalid Latif,c Zulfiqar Babar b Anwar Ali,16,7,3,0,228.57,24
Misbah-ul-Haq (c),not out,1,1,0,0,100.00,24
Mohammad Hafeez,c Sharjeel Khan b Mohammad Irfan,0,1,0,0,0.00,25
Dawid Malan,c Imran Khalid b Watson,43,30,4,3,143.33,25
Kamran Akmal †,c Misbah-ul-Haq b Mohammad Sami,88,48,6,6,183.33,25
Eoin Morgan,b Saeed Ajmal,1,3,0,0,33.33,25
Haris Sohail,c †Haddin b Watson,12,14,0,0,85.71,25
Daren Sammy (c),c Sharjeel Khan b Mohammad Irfan,7,7,0,1,100.00,25
Shahid Afridi,c Misbah-ul-Haq b Watson,4,4,0,0,100.00,25
Iftikhar Ahmed,c †Haddin b Mohammad Sami,0,1,0,0,0.00,25
Chris Jordan,not out,16,10,1,1,160.00,25
Hasan Ali,c Amad Butt b Watson,4,2,1,0,200.00,25
Junaid Khan,not out,0,0,0,0,-,25
Dwayne Smith,c Jordan b Junaid Khan,55,49,8,1,112.24,25
Sharjeel Khan,lbw b Hasan Ali,1,4,0,0,25.00,25
Brad Haddin †,c †Kamran Akmal b Jordan,73,39,8,3,187.17,25
Shane Watson,not out,26,13,2,2,200.00,25
Sam Billings,not out,7,3,1,0,233.33,25
Asad Shafiq,b Narine,29,28,4,0,103.57,26
Ahmed Shehzad,c †Mohammad Rizwan b Sohail Tanvir,5,8,0,0,62.50,26
